番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
137,"2024年12月13日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2009/03","CBF-TRH200V","レジアスエース","117,700 Km","1TR","その他","","燃料計の故障により、燃料が残ったように見える状態で実際の燃料が無い状態になったため、路上でエンジンが停止し、再始動不能になった。"
138,"2024年12月13日","秋田県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2024/01","3BA-JB74W","ジムニーシエラ","","K15B","保安灯火","","ＬＥＤヘッドライト搭載車で、前照灯に雪が溜まり、前方を全く照らせない状態になった。ヘッドライトウォッシャー搭載車ではあったが、ウォッシャー液を全て使い切ってもさらに雪は溜まり続けてしまい、すぐに全く照らせない状態に戻ってしまった。"
139,"2024年12月13日","東京都","ＨＰ","トヨタ","2023/08","6AA-MXWH60","プリウス","4,140 Km","M20A-1VM","電気装置","２０２３年９月　納車後１週間くらい","エンジン始動後「お知らせは起動できません　販売店へお問い合わせください」と表示が出る。販売店に申告したところ、原因はお知らせのアプリがひとつでなく始動時に表示するアプリの立ち上がりが早いと受け取るアプリが起動してないので警告が出るようだと説明があった。"
140,"2024年12月13日","徳島県","ＨＰ","スズキ","2023/12","8BK-ED131","ジクサー","5,350 Km","BGA4","かじ取り","購入時に不具合あり","オートバイを乗り始めてもあまりフィーリングが良い感じがしないので確認すると車両のフロントフォークのアッパブランケットからの突き出し量が左右で１ｍｍのずれがあった。"
141,"2024年12月13日","神奈川県","ＨＰ","ホンダ","2023/10","6AA-RP8","ステップワゴン","14,000 Km","LFA-H4","かじ取り","２０２４年８月ころ","発進時などでハンドルを４５度ほど回転すると「ギギーッ」と音が発生する。"
142,"2024年12月13日","東京都","ＨＰ","三菱","2024/06","5LA-GL3W","エクリプス　クロス","","4B12-S61-Y61","乗車装置","２０２４年７月","後席中央のシートベルトバックルがシート内に沈み込みシートベルトを装着できなくなる。"
143,"2024年12月13日","広島県","ＨＰ","マツダ","2018/12","3DA-GJ2AW","アテンザ","51,000 Km","SH","乗車装置","２０２４年１１月下旬","左後席のシートベルトを使おうとしたが、固くなっており、無理やり引っ張りだしたところ戻らなくなった。"
144,"2024年12月12日","不明","電話","ニッサン","2018/09","DAA-GC27","セレナ","22,300 Km","MR20-SM24","制動装置","","プロパイロットで運行中、前方車に近づいても速度が抑制されず、自動ブレーキも作動しなかった。自分でブレーキを踏み込んで停止した。"
145,"2024年12月12日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2015/11","DAA-NKE165G","カローラ　フィールダー","80,000 Km","1NZ-1LM","その他","","始動時、プリクラッシュセーフティ故障、ヘッドランプシステム故障、ＬＤＡ故障、販売店で点検してくださいと表示が出た。"
146,"2024年12月12日","石川県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2018/06","HBD-DR17V","ＮＶ１００　クリッパー","174,800 Km","R06A","動力伝達","","ギアマークが出たため調べてもらったところ、クラッチが滑っていると診断された。"
147,"2024年12月12日","神奈川県","ＨＰ","ＤＳ","2021/04","3DA-X74AH01","ＤＳ　７","44,534 Km","AH01","保安灯火","２０２４年１２月","外３６４８（テールランプの組付け不良）のリコールについて対象範囲外の車で、右テールランプにかなりの量の水が入っている。"
148,"2024年12月11日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","ルノー","2020/06","ABA-KWH5F1","カングー","30,000 Km","H5F","エンジン","","インテークパイプが真ん中から割れ、加速不良になった。"
149,"2024年12月11日","京都府","ﾌﾘｰﾀﾞｲｱﾙ","キャタピラー","2018/08","YDP-H22","キャタピラー　９１０Ｍ","501 Km","CPS4","エンジン","","どこからかオイルが漏れているという事で車両を点検したところ、走行用油圧ポンプのギア部のボルトが無くなり、オイルが漏れたものと判明した。"
150,"2024年12月11日","三重県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2019/08","4AA-213077C","Ｅ２００","68,200 Km","264-EM0018","保安灯火","およそ３年くらい前","エンジンを始動し、２０ｋｍ／ｈくらいまでの速度でゆっくり走ると、ブレーキペダルを踏んでいない状態でブレーキランプが点灯し続ける。２５～３０ｋｍ／ｈまで上げると勝手に消え、一度消えると、その後にノロノロ運転になったとしても再発はせず、駐車して３０分程度以上時間が経過すると再発する。"
151,"2024年12月11日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","キャデラック","2018/10","ABA-A1LL","ＣＴＳ","30,000 Km","1D","動力伝達","","走行中、波状路を走った時のようなガンガンという衝撃が出るようになり、その後、エンジン回転も上がらなくなった。"
152,"2024年12月11日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","ＢＭＷ","2020/06","3DA-GT30","ＢＭＷ　Ｘ６　ｘＤｒｉｖｅ　３５ｄ","37,000 Km","B57D30A","エンジン","１週間前","交差点で突然エンジンが停止した。パネル上にはシステムがオーバーヒートしている旨と、冷えた後にエンジン始動が再び可能になるという表示がされていた。ディーラーへ搬送して確認したところ、原因は判らないがエンジンが回らない状態になっていて、エンジン一式の交換が必要と告げられた。"
153,"2024年12月11日","広島県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","-","アドレス１２５","","","保安灯火","","キーをオフにして鍵を抜いている状態なのに前照灯が点灯し、バッテリーが上がる。"
154,"2024年12月11日","三重県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/07","DBA-LA710S","ウェイク","","KF","その他","","エアコンを使うと、痒くなる。この不具合の影響なのか天井が黒ずんでいる。"
155,"2024年12月11日","千葉県","ＨＰ","トヨタ","","6BA-MXUA80","ハリアー","2,200 Km","M20A","乗車装置","２年前から","「ＳＲＳエアバッグが故障しています」というメッセージが頻繁に表示される。"
156,"2024年12月11日","千葉県","ＨＰ","フォルクスワーゲン","2022/03","3DA-CDDTS","ゴルフ　ＴＤＩ／１１０ｋＷ","45,500 Km","DTS","かじ取り","２０２４年１０月から","駐車場など大きなステアリング入力が必要となる場所においてハンドルを切ると、ほぼ１００％に近い確率で「ＥＭＥＲＧＥＮＣＹ　ＡＳＳＩＳＴＡＮＣＥは現在使用できません」「ＴＲＡＶＥＬ　ＡＳＳＩＳＴは現在使用できません」の警告が誤って表示される。その後、高速道路などの大きなステアリング操作の必要がない道路においても同様の警告が短い感覚において頻発し、酷い時は数秒間隔で警告音と表示が繰り返され、注意力を削がれ運転上支障となる。"
157,"2024年12月10日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/01","3BA-LA150S","ムーヴ","10,000 Km","KF","かじ取り","","カーブ後、直線になってもハンドルが自然に戻らず途中で止まってしまう。"
158,"2024年12月10日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/01","3BA-LA150S","ムーヴ","10,000 Km","KF","車枠・車体","","防音性能が悪く、舗装が悪い道路では室内がうるさく、高速道路では音楽やラジオが聞こえないほどになる。"
159,"2024年12月10日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/01","3BA-LA150S","ムーヴ","10,000 Km","KF","乗車装置","","窓を上げると内張がふくらみ、いっしょにドアミラーが動く。"
160,"2024年12月10日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2021/01","3BA-LA150S","ムーヴ","10,000 Km","KF","制動装置","","ブレーキに遊びがなく、少し踏んだだけで急ブレーキになってしまう。"
161,"2024年12月10日","兵庫県","ＨＰ","ホンダ","2024/04","6AA-RP8","ステップワゴン","11,000 Km","LFA-H4","電気装置","納車後１週間後","アクティブクルーズコントロール走行中にピーという警告音とメーターに警告表示が出て、安全装置が使えなくなった。ディーラーで確認した結果、ミリ波レーダーの異常と診断され、部品交換を行ったが、その後に２回同じ故障が発生した。"
162,"2024年12月10日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","35,000 Km","TZ155XTY2201","車枠・車体","２０２４年１１月","暖房を使用すると焦げ臭いにおいが発生する。"
163,"2024年12月10日","東京都","ＨＰ","マツダ","2018/09","6BA-DJLFS","デミオ","16,000 Km","P5","燃料装置","２０２１年８月２５日ほか","走行中、及びアイドリング中にエンストした。"
164,"2024年12月10日","山梨県","ＨＰ","メルセデス・ベンツ","2019/06","LDA-447811","Ｖ２２０ｄ","46,700 Km","651","車枠・車体","２０２４年１２月９日","洗車機に入れるとフロントガラス付近から雨漏りする。"
165,"2024年12月09日","不明","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","","-","ＣＸ－６０","","","その他","","衝突被害軽減ブレーキやレーンキープアシストが必要のない所で作動する。"
166,"2024年12月09日","和歌山県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","5AA-MH95S","ワゴンＲ","","R06D-WA04C","エンジン","","ブレーキペダルを踏んでいる状態で、もう少しで止まるところで急発進した。"
167,"2024年12月09日","不明","ﾌﾘｰﾀﾞｲｱﾙ","日野","2021/07","2KG-XZU700X","日野デュトロ","74,200 Km","N04C","動力伝達","２０２４年１月","発進時、１速に固くて入りにくい。走行中にギア抜けすることもありいきなりＮになってしまう。"
168,"2024年12月09日","宮崎県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","2011/07","EBD-TV1","サンバー","60,000 Km","EN07","乗車装置","","高速道路走行中にバックドアが開いた。"
169,"2024年12月09日","兵庫県","ﾌﾘｰﾀﾞｲｱﾙ","ＢＭＷ","2012/03","DBA-1A16","１１６ｉ","","N13B16A","燃料装置","１年前から","燃料ポンプの不具合によりエンストした。"
170,"2024年12月09日","東京都","ＨＰ","ホンダ","","DBA-JC1","ライフ","24,000 Km","P07A","車枠・車体","２０２４年１２月","高速道路を走行中、フロントグリル上部１枚が吹き飛んだ。"
171,"2024年12月09日","京都府","ＨＰ","スバル","2014/07","DBA-VM4","レヴォーグ","68,100 Km","FB16","保安灯火","１年ほど前から","運転席と助手席の窓の内側が白濁し、視認性が悪くなった。"
172,"2024年12月09日","新潟県","ＨＰ","トヨタ","2010/01","DBA-QNC21","ｂＢ","98,000 Km","3SZ","車枠・車体","中古で購入時から","タイヤハウスが３ヶ所割れていた。"
173,"2024年12月09日","石川県","ＨＰ","スズキ","2021/03","4BA-ZC33S","スイフト","30,000 Km","K14C","保安灯火","２０２１年２月頃","エンジン始動時、左ドアミラーが開き切ることなく途中で止まった。ドアミラーの開閉ボタンを数回押すことにより開くが、最終的には動かなくなった。"
174,"2024年12月09日","神奈川県","ＨＰ","ニッサン","2017/10","DBA-TE52","エルグランド","80,000 Km","QR25","動力伝達","２０２４年１１月２日","加速時にＣＶＴよりウォーンと異音がするようになった。"
175,"2024年12月09日","愛知県","ＨＰ","ホンダ","2015/11","DBA-RC1","オデッセイ","53,600 Km","K24W","保安灯火","２０２４年４月","運転席、助手席窓ガラスに縞模様が発生した。"
176,"2024年12月08日","三重県","ＨＰ","ポルシェ","2010/02","ABA-987MA120","ケイマン","89,200 Km","MA120","燃料装置","","給油口接合部からガソリンの滲み漏れが発生した。"
177,"2024年12月08日","北海道","ＨＰ","ダイハツ","2012/01","ABA-S331G","アトレーワゴン","140,000 Km","KF","制動装置","２０２４年１２月","下り坂道を走行中、ＡＢＳ作動後ブレーキペダルが床まで踏み抜け、ブレーキが効かなくなった。"
178,"2024年12月08日","千葉県","ＨＰ","マツダ","2017/01","LDA-GJ2FP","アテンザ","84,000 Km","SH","排ｶﾞｽ･騒音","２０２４年１０月","走行中に警告灯が点灯した。ディーラーで確認した結果、「Ｐ０４０１　ＥＧＲ流量不足」の故障コードが確認され、吸気側のつまりが考えれられると診断された。"
179,"2024年12月08日","石川県","ＨＰ","ボルボ","2017/09","CBA-MB420XC","ボルボ　Ｖ４０クロスカントリー","78,209 Km","B420","制動装置","２０２２年１２月と２０２４年１２月","ブレーキシステム警告が表示され、ブレーキの効きが悪くなった。整備工場で、ブレーキサーボを交換したが、同じ個所の故障が２年に２回発生した。"
180,"2024年12月08日","富山県","ＨＰ","ホンダ","2017/11","DAA-GP5","フィット","90,000 Km","LEB-H1","動力伝達","２０２４年１２月７日","アクセルペダルを踏んでも空回りするような症状でなかなか進まなくなった。その後、マフラーより白い煙が上がった。その際、橙色トランスミッション警告灯がついた。"
181,"2024年12月07日","千葉県","24時間電話","スズキ","2020/12","EBD-DA16T","キャリイ","24,000 Km","R06A","動力伝達","２０２４年１１月１４日","クラッチが切れなくなり、クラッチ調整ナットを回して調整して乗っていたところ、その後にクラッチワイヤー中間部が切れ、走行不能になった。"
182,"2024年12月07日","群馬県","ＨＰ","ニッサン","2017/06","DAA-GFC27","セレナ","79,000 Km","MR20-SM24","制動装置","２０２４年８月","プロパイロット作動中、カメラで前車を認識しているが車間距離が詰まって衝突しそうになっても自動ブレーキが効かない。３年前にＡＢＳアクチュエータを交換したが、再発した。"
183,"2024年12月07日","奈良県","ＨＰ","ニッサン","2019/05","DAA-GFC27","セレナ","47,182 Km","MR20-SM24","電気装置","２０２４年１２月","運転中、メーターパネルに突然「警告　システム故障～」と表示されたため、ディーラーにて調査してもらったところ運転支援用フロントカメラが故障と判明した。"
184,"2024年12月06日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2018/12","DBA-ZRR80G","ヴォクシー","84,000 Km","3ZR","エンジン","２０２４年９月ごろ","エンジンオイルが１０００ｋｍで１リットル減るようになった。ディーラーで確認したところ、４番シリンダーのバルブステムシール不良と診断された。"
185,"2024年12月06日","岐阜県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","","6AA-RV6","ＶＥＺＥＬ","","LEC-H5","保安灯火","","ドアミラーが開かない。ブラインドスポットの警告が点灯しない。"
186,"2024年12月06日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2019/05","DAA-GFC27","セレナ","36,000 Km","MR20-SM24","エンジン","２０２４年１２月１日","一般道のやや急な坂道を上っていたところ、エンジンがガタガタと振動してアクセル操作に反応しなくなり、その後、信号手前でエンジンが止まり再始動不能になった。レッカーでディーラーに搬送し、確認したところ、ＥＧＲの故障と診断された。"
187,"2024年12月06日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2020/06","2DG-FW1AHG","プロフィア","490,000 Km","A09C","保安灯火","","ヘッドライトの内部がガタガタになり、点灯がちらついたり、灯色もおかしくなった。"
188,"2024年12月06日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2020/06","2DG-FW1AHG","プロフィア","510,000 Km","A09C","保安灯火","","ヘッドライトの内部がガタガタになり、点灯がちらついたり、灯色もおかしくなった。"
189,"2024年12月06日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","トライアンフ","2023/04","不明","スクランブラー９００","","T120R","保安灯火","購入当初から","右ウインカーがスイッチを操作しても、スイッチから指を離すとキャンセル状態になって、すぐに消えてしまう。"
190,"2024年12月06日","神奈川県","ＨＰ","スバル","2014/10","DBA-VM4","レヴォーグ","138,000 Km","FB16","保安灯火","２０２４年４月１０日","運転席、助手席側サイドガラスの室内側ＵＶカットコーティングが劣化して剥がれ、視界不良になった。"
191,"2024年12月06日","大阪府","ＨＰ","トヨタ","2022/06","3BF-TRY230","ダイナ","18,900 Km","1TR","緩衝装置","購入後二千ｋｍ未満","ハンドル位置ずれ、アライメント狂いがあった。"
192,"2024年12月06日","神奈川県","ＨＰ","ＢＭＷ","2016/09","DBA-HS15","ＢＭＷ　Ｘ１　ｓＤｒｉｖｅ　１８ｉ","42,000 Km","B38A15A","動力伝達","","シフトレバーの部品の破損により、シフトレバーをパーキングにしてもセンサーを作動させることができず、「停車時にはパーキングブレーキをかけてください。正規ディーラーで点検を受けてください。」というエラーメッセージが表示される。"
193,"2024年12月06日","愛知県","ＨＰ","メルセデス・ベンツ","2024/08","3CA-167333","ＧＬＥ　４５０ｄ　４ＭＡＴＩＣ　クーペ","3,000 Km","656M-EM0023","エンジン","２０２４年１０月","１０００ｋｍ走行だけで「エンジンオイルを１リッター補充」と警告メッセージが表示される。"
194,"2024年12月06日","広島県","ＨＰ","ホンダ","2018/10","DAA-GM4","ＧＲＡＣＥ","130,000 Km","LEB-H1","電気装置","２０２４年１０月","バッテリーの早期上がりを繰り返した。販売店で暗電流の発生が確認され、ヒューズボックスの交換を行ったがその後に再びバッテリー上りが発生した。"
195,"2024年12月06日","福井県","ＨＰ","三菱","2020/09","2PG-FEB50","ふそうキャンター","242,413 Km","4P10","動力伝達","２０２４年１１月１２日","ＡＭＴ（ＤＵＯＮＩＣ）の変速ショックが大きく、異音もする。"
196,"2024年12月05日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2016/12","DAA-GP5","フィット","40,000 Km","LEB-H1","制動装置","２０２４年１２月２日","バイパスを走行中、車体が振動すると共に車両左側から発煙をした。確認したところ、ブレーキキャリパーのピストンが錆びて固着し、引きずりを起こしたものと判った。"
197,"2024年12月05日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2023/06","5BA-FC28","セレナ","","MR20","電気装置","","１年４か月でバッテリーがあがって始動できなくなった。"
198,"2024年12月05日","石川県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2023/01","6AA-MXPL10G","シエンタ","40,000 Km","M15A-1NM","電動機(モーター)","２０２４年１２月","突然ＲＥＡＤＹ　ＯＮできなくなった。ディーラーへレッカー搬送して確認したところ、メインバッテリーに関わる部品に問題があると診断された。"
199,"2024年12月05日","新潟県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2014/03","DBA-L33","ティアナ","86,500 Km","QR25","エンジン","","エンジンから異音がするようになり、ディーラーで確認したところ、タイミングチェーンが伸びていると診断された。"
200,"2024年12月05日","兵庫県","ＨＰ","スバル","2011/01","DBA-BR9改","レガシィ","137,500 Km","EJ25","動力伝達","２０２４年１１月","主に２速から３速に変速する時に後ろから追突されたかのような大きな衝撃とも言えるような変速ショックが起こる。"
201,"2024年12月05日","山口県","ＨＰ","マツダ","2023/03","5BA-KH5P","ＣＸ－６０","10,000 Km","PY","エンジン","８０００ｋｍ走行時点","エンジンルームを点検したところ、クーラントのリザーバータンクからクーラントが吹き出しているような跡があることを発見した。一度ふき取った後、２週間程度走行して再度確認したところ、同じような症状が現れていた。"
202,"2024年12月05日","徳島県","ＨＰ","ホンダ","2018/03","DBA-JF3","Ｎ－ＢＯＸ　Ｃｕｓｔｏｍ","96,000 Km","S07B","エンジン","２０２３年以降，３ヶ月に１回程度","坂道や高速道路の合流時などで加速しようとした際、エンジンのチェックランプが点滅して車体が激しく揺さぶられるとともに失速する。"
203,"2024年12月05日","秋田県","ＨＰ","スズキ","2019/03","ABA-DA17W","エブリイ","70,200 Km","R06A","エンジン","走行距離が５００００ｋｍ越えた頃","エンジンからカタカタ音がするようになった。"
204,"2024年12月05日","広島県","ＨＰ","アウディ","2018/08","ABA-8VDJHL","アウディ　Ｓ３セダン","62,000 Km","DJH","保安灯火","２０２３年７月","車幅灯のデイライトが時々点灯しない。ディーラーで確認した結果、基盤が焦げており、ライトの交換が必要と診断された。"
205,"2024年12月04日","和歌山県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","","-","フォレスター","265,000 Km","","エンジン","２０２４年１１月１１日","高速道路走行中にエンジンが吹けなくなった。整備工場で確認したところ、タイミングベルトテンショナーのボルトが折れていた。"
206,"2024年12月04日","京都府","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2022/11","6BA-JF4","Ｎ－ＢＯＸ","","S07B","エンジン","","給油後、エンジン回転について、本来は１０００～２０００ｒｐｍのところ、７００～８００ｒｐｍになっていて、アクセルをあおらないと上がらない。"
207,"2024年12月04日","埼玉県","ＨＰ","ホンダ","2022/09","5BA-GB6","ＦＲＥＥＤ","","L15B","制動装置","購入日から","エンジンブレーキがかからない仕様になっている。"
208,"2024年12月04日","埼玉県","ＨＰ","三菱","2023/11","5LA-GN0W","アウトランダーＰＨＥＶ","20,786 Km","4B12-S91-YA1","保安灯火","２０２４年１１月１６日","ナビゲーションシステムに対するリコール対応済であるにもかかわらず、バックモニターがブラックアウトした。１年間２万ｋｍ走行の間に４回発生した。"
209,"2024年12月04日","北海道","ＨＰ","ホンダ","2021/09","6BA-RV4","ＶＥＺＥＬ","39,936 Km","L15Z","乗車装置","２０２４年９月","エアバック警告灯が消えない。"
210,"2024年12月03日","千葉県","ＨＰ","トヨタ","2024/07","5BA-MZEA17W","カローラ　ツーリング","","M15A","電気装置","新車購入から","スタート／ストップスイッチを押しても車の電源が切れないことがある。これまでに４回発生していて、販売店やメーカーに申告しているが、シガーソケットに電装品を繋いでいるのが原因かもしれないと言われている。"
211,"2024年12月03日","大阪府","電話","日野","2020/03","2KG-FD2ABA","レンジャー","197,700 Km","A05C","電気装置","２０２２年８月","車庫入れしていたところ急にバッテリーが爆発した。バッテリー液が飛び散ったため、荷台（バン）とフレームの間の根太に付着して腐食した。"
212,"2024年12月03日","京都府","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2022/09","2PG-FS74HZ","ふそうスーパーグレート","136,400 Km","6R20","制動装置","２０２４年８月９日","片側２車線道路の緩い左カーブ、その先に交差点。その交差点に差し掛かったところ、異常がないのにＡＥＢＳの警告と共にフルブレーキが作動した。この影響で搭載していたフォークリフトが倒れ、荷台の鳥居を押しつぶしたり、フレーム変形等の被害が起きてしまった。"
213,"2024年12月03日","不明","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2020/02","2RG-FP74HDR","ふそうスーパーグレート","219,800 Km","6R20","動力伝達","","変速機の不良により、走行中にギアがＮになり走行できなくなる。"
214,"2024年12月03日","不明","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2020/02","2RG-FP74HDR","ふそうスーパーグレート","219,800 Km","6R20","エンジン","","ラジエーターのアッパータンク、ロアタンクとコアの継ぎ目から水漏れする。"
215,"2024年12月03日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2018/12","DAA-HNT32","エクストレイル","70,000 Km","MR20-RM31","電気装置","","走行中にオレンジ色のブレーキ警告灯が点灯した。ディーラーで確認したところ、故障のログが検出され、コンピューターのコネクター部に水分が入ることで回路の抵抗値が異常になり、警告灯の点灯に至るものと診断された。"
216,"2024年12月03日","香川県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2012/10","DBA-E12","ノート","109,600 Km","HR12","動力伝達","２０２４年１２月１日","高速運転中にＣＶＴの変速がおかしくなり、安定した走行が出来なくなった。ベルトも鳴っていた。"
217,"2024年12月03日","茨城県","ＨＰ","ホンダ","2015/05","DBA-RP3","ステップワゴン","74,000 Km","L15B","乗車装置","２０２４年７月","リアハッチドアが開かなくなり、わくわくゲートも開かなくなった。ディーラーで確認した結果、コントロールユニット交換が必要と診断された。"
218,"2024年12月03日","神奈川県","ＨＰ","ニッサン","2013/09","DAA-HFC26","セレナ","96,000 Km","MR20-SM23","動力伝達","","停止状態からアクセルペダルを踏み込んだ時にまるでエンジンのノッキングのように激しく車体が振動する。そのままでいると加速せずに後続車に追突されそうになる。一度アクセルペダルから足を離すと振動が収まる。振動させながら走行した際にエンジンチェックランプが点灯したためにレッカーで整備工場へ運んで検査をした結果、Ｐ１７Ｆ１のエラーコードが検出された。"
219,"2024年12月03日","神奈川県","ＨＰ","ニッサン","2013/09","DAA-HFC26","セレナ","96,000 Km","MR20-SM23","エンジン","２０２０年１２月頃から","エンジンからカラカラと異音が出るようになった。整備工場で確認した結果、異音の原因はタイミングチェーンが伸びきって弛んだ部分が暴れることで周辺に接触している音だと指摘を受けた。"
220,"2024年12月03日","千葉県","ＨＰ","フォルクスワーゲン","2015/08","DBA-7NCTH","ＶＷ　シャラン１．４　１１０ｋＷ","33,000 Km","CTH","車枠・車体","２０２４年１１月","パワーテールゲートを開けたところ、開き切る途中でバキッという音と共にダンパーの付け根が車体から外れた。バックドアが降りてきて挟まれそうになった。"
221,"2024年12月02日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2022/11","ZAA-B6AW","サクラ","","MM48","電動機(モーター)","","Ｖ２Ｈでの使用で昼間に充電し、夜間に家庭電源として使用後、住居との接続を切り離して車を使用する際、充電電気量の％表示が、残走行距離表示と釣り合っておらず、多めに電気が残っているような表示をする。一度充電ケーブルをつなぎなおす等を行うと、一気に現在の電気量表示が減る。"
222,"2024年12月02日","福島県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2017/03","DBA-ZRR85W","ノア","150,000 Km","3ZR","動力伝達","２０２４年１１月","走行中にＰＣＳ異常、４ＷＤシステムチェックなどの表示が出ると共にアクセルを開けてもエンジンが吹けない症状が出た。説明書を確認したところフェイルセーフになっていることが判ったため販売店へ入庫して確認したところ、ＣＶＴ内部不良と診断された。"
223,"2024年12月02日","千葉県","ＨＰ","テスラ","2024/09","ZAA-3L23T","Ｍｏｄｅｌ　３","5,283 Km","3D3-3D7","電気装置","２０２４年１０月","「カメラに異常がある」との警告が画面内に発生した。ある日アップデートがリリースされたのでダウンロードをするも、途中で停止し１週間ほど待っても完了しなかった。サポートに電話をしコンピューターを再起動するも、突然カメラがブラックアウトし、ＧＰＳがその場から動かない状態になり、ナビも使用不能になった。カメラが使えないので自動緊急ブレーキは使用不能。オートパイロット機能等の運転支援も使用不能になった。遠隔診断を受けた結果、ＣＰＵの不良として交換を行う事になった。"
224,"2024年12月02日","埼玉県","ＨＰ","ニッサン","2013/09","DAA-HFC26","セレナ","107,700 Km","MR20-SM23","動力伝達","２０２４年６月１８日","発進低速時にダダダという感じでジャダーがおきる。"
225,"2024年12月02日","兵庫県","ＨＰ","ＢＭＷ","2012/03","DBA-1A16","ＢＭＷ　１１６ｉ","80,000 Km","N13B16A","燃料装置","","フューエルポンプ異常により、エンジンストールが複数回起きて走行中に停止した。"
226,"2024年12月02日","福井県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","2021/03","4BA-SK5","フォレスター","100,000 Km","CB18","エンジン","２０２４年１１月２８日","サーモコントロールバルブの破損により、メーターパネルに販売店へご連絡下さいと表示された。この影響により、アイサイトが機能しなくなり、エアコンの効きが悪くなった。"
227,"2024年12月02日","埼玉県","ＨＰ","三菱","2023/11","5LA-GN0W","アウトランダーＰＨＥＶ","20,786 Km","4B12-S91-YA1","制動装置","２０２４年１１月１６日","一般道において、停車から前車の発進に合わせて自車も発進したところ、ほどなく「ピッピッピ」と音がして自車が停止した。発車したばかりで速度は出ていなかったが、自車ブレーキのために後続車が急ブレーキとなり、後続車同士が接触事故を起こした。"
228,"2024年12月02日","大阪府","ＨＰ","スズキ","2024/06","2BK-CH41A","バーグマン２００","72,000 Km","H405","エンジン","２０２４年１１月１７日","３０分くらい走行し、停止したあとエンジンがなかなか始動しない。再始動してもアイドリングが全く効かず、３０００回転以下にすると直ぐにエンストする。エンストの影響からバッテリー上がりとなり、エンジン始動が困難となった。"
229,"2024年12月02日","福岡県","ＨＰ","ニッサン","2018/10","DAA-GFC27","セレナ","45,074 Km","MR20-SM24","その他","２０２４年６月頃","冷房が効かず温風しか出てこない。整備工場で点検の結果、エバポレーターの腐食によるガス漏れが原因と判った。"
230,"2024年12月02日","愛知県","ＨＰ","カワサキ","2023/11","8BL-ZX400P","Ｎｉｎｊａ　ＺＸ－４Ｒ","","ZX400PE","エンジン","購入した時から","エンジン回転数が低い時に息継ぎを起こす。発進する時倒れそうになったことが何度もあった。エンジン始動直後に液体がマフラーから出てくる。マフラーから出てくる液体でマフラーの出口付近が黒く汚れる。"
231,"2024年12月01日","山口県","ＨＰ","スバル","2019/09","5BA-SK9","フォレスター","55,000 Km","FB5","エンジン","２０２４年１１月２９日","走行中にクールインジケータが点灯しっぱなしになり、暖房も効かず。エンジン回転数も３０００回転までしか上がらずその後エンジンチェックランプ点灯、アイサイトエラー、ＡＤＢシステム点検、ＲＡＢシステム点検の警告が表示され、走行モードがＳモードで固定されたためディーラーに持ち込み診断を行った結果、サーモコントロールバルブ不良との診断結果が出た。"
